id,lat,lng,unverified,description,season_start,season_stop,no_season,quality_rating,yield_rating,author,address,city,state,country,created_at,updated_at,access,import_link,muni,types
22,37.40984882103673,-122.13752889510647,false,Nice big tart oranges,December,,false,Very Good,Very Good,Caleb,,Palo Alto,California,United States,2013-01-31 21:26:20 UTC,2016-12-03 23:57:20 UTC,Private but overhanging,,false,{Orange}
23,37.41208699077257,-122.14018227037445,false,"Huge trees, many of them, all along the bike path too.",,,false,Very Good,Very Good,Caleb,,Palo Alto,California,United States,2013-01-31 21:27:18 UTC,2016-12-03 23:48:04 UTC,Public,,false,{Eucalyptus}
24,37.41204281579375,-122.13969953922577,false,,,,false,Poor,Poor,caleb,,Palo Alto,California,United States,2013-01-31 21:54:00 UTC,2016-12-03 23:42:51 UTC,Private but overhanging,,false,{Lemon}
25,37.4115618324078,-122.13928757230951,false,,,,false,,,caleb,,Palo Alto,California,United States,2013-01-31 21:55:50 UTC,2016-12-03 23:52:30 UTC,,,false,{Orange}
26,37.411252482764056,-122.13886244218065,false,,,,false,Poor,Poor,caleb,,Palo Alto,California,United States,2013-01-31 21:56:50 UTC,2016-12-03 23:38:36 UTC,,,false,{Lemon}
28,37.41157016939803,-122.13928893733026,false,,,,false,Poor,Poor,caleb,,Palo Alto,California,United States,2013-01-31 21:58:24 UTC,2016-12-03 23:34:21 UTC,Private but overhanging,,false,{Rosemary}
29,37.410464013566326,-122.1373389474602,false,,,,false,Poor,Poor,caleb,,Palo Alto,California,United States,2013-01-31 21:59:39 UTC,2016-12-03 23:16:07 UTC,Private but overhanging,,false,{Lemon}
31,37.41138598419351,-122.13942523246726,false,,,,false,Very Good,Very Good,caleb,,Palo Alto,California,United States,2013-01-31 22:01:20 UTC,2016-12-03 23:17:06 UTC,Public,,false,{Sage}
32,37.42732085319509,-122.16964484865724,false,Multiple avo trees in courtyard. Healthy and putting on buds in jan.,,,false,,,caleb,,Stanford,California,United States,2013-01-31 22:25:42 UTC,2016-12-03 23:47:07 UTC,Public,,false,{Avocado}
33,37.42790159419164,-122.16771699356923,false,Well picked orange trees.,,,false,Poor,Poor,Caleb,,Stanford,California,United States,2013-02-01 01:04:21 UTC,2016-12-03 23:35:32 UTC,Public,,false,{Orange}
34,37.424669,-122.147307,false,john's favorite fruit,January,,false,Poor,Very Good,caleb,"2305 Yale St, Palo Alto, CA 94306, USA",Palo Alto,California,United States,2013-02-01 18:32:01 UTC,2025-05-05 05:17:27 UTC,Private but overhanging,,false,{Grapefruit}
35,37.42395638333333,-122.14691253333334,false,,,,false,,,caleb,,Palo Alto,California,United States,2013-02-01 18:53:38 UTC,2016-12-03 23:16:00 UTC,,,false,{Orange}
36,37.42143415,-122.14896798333334,false,"I'm pretty sure this tree, and a bunch of the others listed in college terrace, are on private property.",,,false,,,caleb,,Palo Alto,California,United States,2013-02-01 18:57:04 UTC,2016-12-03 23:36:33 UTC,,,false,{Lemon}
107,37.40977151022672,-122.13604557863835,false,"Very nice lemon tree, fruits heavily and owners don't seem to pick it (much).",January,,false,Good,Excellent,caleb,,Palo Alto,California,United States,2013-02-01 23:27:02 UTC,2016-12-03 23:23:55 UTC,Private,,false,{Lemon}
108,37.41356465,-122.12991096666667,false,,,,false,Very Good,Very Good,caleb,,Palo Alto,California,United States,2013-02-01 23:29:11 UTC,2016-12-03 23:19:16 UTC,Private but overhanging,,false,{Grapefruit}
109,37.41098186666667,-122.11945515,false,,,,false,Poor,Poor,caleb,,Palo Alto,California,United States,2013-02-01 23:39:27 UTC,2016-12-02 07:25:37 UTC,,,false,{Lemon}
110,37.395123442191974,-122.0896725949728,false,,,,false,Poor,Poor,caleb,,Mountain View,California,United States,2013-02-01 23:51:18 UTC,2016-12-03 23:28:40 UTC,,,false,{Orange}
111,37.3933427,-122.085979,false,,,,false,,,caleb,,Mountain View,California,United States,2013-02-01 23:55:02 UTC,2016-12-03 23:46:55 UTC,,,false,{Lemon}
112,37.3910664,-122.07920856666667,false,Also a sad looking lemon tree,,,false,,,caleb,,Mountain View,California,United States,2013-02-01 23:58:49 UTC,2016-12-03 23:27:30 UTC,,,false,{Orange}
113,37.39061066666667,-122.07845291666666,false,Also a small orange tree,,,false,,,caleb,,Mountain View,California,United States,2013-02-02 00:00:02 UTC,2016-12-03 23:47:22 UTC,,,false,{Lemon}
114,37.39038798333333,-122.07786298333333,false,Like giant kumquat. Not sure what this is...,,,false,,,caleb,,Mountain View,California,United States,2013-02-02 00:04:23 UTC,2016-12-03 23:18:40 UTC,,,false,{Kumquat}
115,37.39024783333333,-122.07788408333333,false,,,,false,,,caleb,,Mountain View,California,United States,2013-02-02 00:06:01 UTC,2016-12-03 23:46:56 UTC,,,false,{Orange}
116,37.39005866666667,-122.0770847,false,,,,false,,,caleb,,Mountain View,California,United States,2013-02-02 00:06:57 UTC,2016-12-02 07:25:40 UTC,,,false,{Orange}
117,37.39038635,-122.0766366,false,,,,false,,,caleb,,Mountain View,California,United States,2013-02-02 00:07:50 UTC,2016-12-03 23:36:06 UTC,,,false,{Lemon}
118,37.39087215,-122.07654018333334,false,Well loved,,,false,,,caleb,,Mountain View,California,United States,2013-02-02 00:10:06 UTC,2016-12-03 23:31:32 UTC,,,false,{Apple}
119,37.390773116666665,-122.07582705,false,,,,false,,,caleb,,Mountain View,California,United States,2013-02-02 00:11:21 UTC,2016-12-03 23:13:27 UTC,,,false,{Orange}
120,37.39072925,-122.07571328333333,false,,,,false,,,caleb,,Mountain View,California,United States,2013-02-02 00:12:17 UTC,2016-12-03 23:19:55 UTC,,,false,{Lemon}
121,37.390308516666664,-122.07470185,false,,,,false,Poor,Poor,caleb,,Mountain View,California,United States,2013-02-02 00:14:21 UTC,2016-12-03 23:53:42 UTC,Private but overhanging,,false,{Lemon}
122,37.39030113333333,-122.07468555,false,Also lemon and orange. Definitely a kumquat lover lives here.,,,false,Poor,Poor,caleb,,Mountain View,California,United States,2013-02-02 00:16:22 UTC,2016-12-03 23:26:40 UTC,,,false,{Kumquat}
123,37.390177433333335,-122.07434706666666,false,,,,false,,,caleb,,Mountain View,California,United States,2013-02-02 00:17:32 UTC,2016-12-03 23:56:45 UTC,,,false,{Grapefruit}
304,37.394535033333334,-122.08836428333333,false,Big beautiful fuentes avocado tree. Fruit is super high though.,January,,false,,,caleb,,Mountain View,California,United States,2013-02-04 21:07:19 UTC,2016-12-03 23:18:43 UTC,Private but overhanging,,false,{Avocado}
411,37.862835,-122.262718,false,Corner house of Ellsworth and Parker,,,,,,Forage Berkeley,,Berkeley,California,United States,2013-02-06 23:51:47 UTC,2016-12-01 10:09:57 UTC,,http://fallingfruit.org/imports/10,false,{Blackberry}
412,37.864014,-122.260796,false,,,,,,,Forage Berkeley,,Berkeley,California,United States,2013-02-06 23:51:47 UTC,2016-12-03 02:32:21 UTC,,http://fallingfruit.org/imports/10,false,{Grape}
413,37.863052,-122.261017,false,,,,,,,Forage Berkeley,,Berkeley,California,United States,2013-02-06 23:51:47 UTC,2016-12-03 08:40:27 UTC,,http://fallingfruit.org/imports/10,false,{Pear}
414,37.863033,-122.261093,false,,,,,,,Forage Berkeley,,Berkeley,California,United States,2013-02-06 23:51:47 UTC,2016-12-01 09:43:52 UTC,,http://fallingfruit.org/imports/10,false,"{""Common fig""}"
415,37.863045,-122.261055,false,,,,,,,Forage Berkeley,,Berkeley,California,United States,2013-02-06 23:51:47 UTC,2016-12-06 20:57:49 UTC,,http://fallingfruit.org/imports/10,false,{Apple}
416,37.862801,-122.263222,false,,,,,,,Forage Berkeley,,Berkeley,California,United States,2013-02-06 23:51:47 UTC,2016-12-03 18:57:45 UTC,,http://fallingfruit.org/imports/10,false,{Apple}
417,37.862762,-122.26326,false,,,,,,,Forage Berkeley,,Berkeley,California,United States,2013-02-06 23:51:47 UTC,2016-12-01 16:59:19 UTC,,http://fallingfruit.org/imports/10,false,{Lemon}
418,37.862701,-122.263557,false,,,,,,,Forage Berkeley,,Berkeley,California,United States,2013-02-06 23:51:47 UTC,2016-12-07 10:45:19 UTC,,http://fallingfruit.org/imports/10,false,{Apple}
419,37.862816,-122.26284,false,,,,,,,Forage Berkeley,,Berkeley,California,United States,2013-02-06 23:51:47 UTC,2016-12-06 16:40:17 UTC,,http://fallingfruit.org/imports/10,false,"{""Common fig""}"
420,37.862598,-122.264503,false,,,,,,,Forage Berkeley,,Berkeley,California,United States,2013-02-06 23:51:47 UTC,2016-12-06 09:35:27 UTC,,http://fallingfruit.org/imports/10,false,{Lemon}
421,37.862591,-122.264679,false,,,,,,,Forage Berkeley,,Berkeley,California,United States,2013-02-06 23:51:47 UTC,2016-12-01 08:47:17 UTC,,http://fallingfruit.org/imports/10,false,{Feijoa}
422,37.862579,-122.264778,false,,,,,,,Forage Berkeley,,Berkeley,California,United States,2013-02-06 23:51:47 UTC,2016-12-03 23:53:31 UTC,,http://fallingfruit.org/imports/10,false,{Apple}
423,37.861572,-122.262894,false,,,,,,,Forage Berkeley,,Berkeley,California,United States,2013-02-06 23:51:47 UTC,2016-12-05 06:32:26 UTC,,http://fallingfruit.org/imports/10,false,{Loquat}
424,37.861862,-122.262444,false,,,,,,,Forage Berkeley,,Berkeley,California,United States,2013-02-06 23:51:47 UTC,2016-12-05 06:32:10 UTC,,http://fallingfruit.org/imports/10,false,{Kale}
425,37.861912,-122.263062,false,,,,,,,Forage Berkeley,,Berkeley,California,United States,2013-02-06 23:51:47 UTC,2016-12-03 23:59:15 UTC,,http://fallingfruit.org/imports/10,false,{Grape}
426,37.868416,-122.256287,false,,,,,,,Forage Berkeley,,Berkeley,California,United States,2013-02-06 23:51:47 UTC,2016-12-03 23:27:37 UTC,,http://fallingfruit.org/imports/10,false,{Lemon}
427,37.858421,-122.264114,false,,,,,,,Forage Berkeley,,Berkeley,California,United States,2013-02-06 23:51:47 UTC,2016-12-08 23:02:25 UTC,,http://fallingfruit.org/imports/10,false,{Plum}
428,37.855366,-122.264465,false,,,,,,,Forage Berkeley,,Berkeley,California,United States,2013-02-06 23:51:47 UTC,2016-12-02 07:27:48 UTC,,http://fallingfruit.org/imports/10,false,"{""Common fig""}"
429,37.854626,-122.264999,false,,,,,,,Forage Berkeley,,Berkeley,California,United States,2013-02-06 23:51:47 UTC,2016-12-01 16:59:20 UTC,,http://fallingfruit.org/imports/10,false,{Persimmon}
430,37.854561,-122.260796,false,,,,,,,Forage Berkeley,,Berkeley,California,United States,2013-02-06 23:51:47 UTC,2016-12-09 17:39:39 UTC,,http://fallingfruit.org/imports/10,false,{Orange}
431,37.853153,-122.261848,false,,,,,,,Forage Berkeley,,Berkeley,California,United States,2013-02-06 23:51:47 UTC,2016-12-03 23:33:54 UTC,,http://fallingfruit.org/imports/10,false,"{""Common fig""}"
432,37.870247,-122.256805,false,,,,,,,Forage Berkeley,,,,,2013-02-06 23:51:47 UTC,2013-02-06 23:51:47 UTC,,http://fallingfruit.org/imports/10,false,{Persimmon}
433,37.853409,-122.263199,false,,,,,,,Forage Berkeley,,Berkeley,California,United States,2013-02-06 23:51:47 UTC,2016-12-03 02:32:22 UTC,,http://fallingfruit.org/imports/10,false,{Feijoa}
434,37.858353,-122.266228,false,2108 Stuart Street,,,,,,Forage Berkeley,,Berkeley,California,United States,2013-02-06 23:51:47 UTC,2016-12-03 05:31:07 UTC,,http://fallingfruit.org/imports/10,false,"{""Common fig""}"
435,37.856541,-122.265686,false,2905 Lorina Street,,,,,,Forage Berkeley,,Berkeley,California,United States,2013-02-06 23:51:47 UTC,2016-12-03 23:42:52 UTC,,http://fallingfruit.org/imports/10,false,"{""Common fig""}"
436,37.859982,-122.264832,false,2155 Ward Street,,,,,,Forage Berkeley,,Berkeley,California,United States,2013-02-06 23:51:47 UTC,2016-12-07 16:42:41 UTC,,http://fallingfruit.org/imports/10,false,{Lemon}
437,37.859913,-122.262039,false,2730 Ellsworth Street,,,,,,Forage Berkeley,,Berkeley,California,United States,2013-02-06 23:51:47 UTC,2016-12-02 12:50:36 UTC,,http://fallingfruit.org/imports/10,false,{Lemon}
438,37.862015,-122.262932,false,2245 Carleton Street,,,,,,Forage Berkeley,,Berkeley,California,United States,2013-02-06 23:51:47 UTC,2016-12-01 18:07:15 UTC,,http://fallingfruit.org/imports/10,false,{Pear}
439,37.861988,-122.263405,false,2233 Carleton Street,,,,,,Forage Berkeley,,Berkeley,California,United States,2013-02-06 23:51:48 UTC,2016-12-08 00:51:56 UTC,,http://fallingfruit.org/imports/10,false,{Persimmon}
440,37.85791,-122.254539,false,,,,,,,Forage Berkeley,,Berkeley,California,United States,2013-02-06 23:51:48 UTC,2016-12-09 17:39:52 UTC,,http://fallingfruit.org/imports/10,false,{Lemon}
441,37.859035,-122.255836,false,,,,,,,Forage Berkeley,,Berkeley,California,United States,2013-02-06 23:51:48 UTC,2016-12-08 11:16:11 UTC,,http://fallingfruit.org/imports/10,false,{Persimmon}
