id,lat,lng,unverified,description,season_start,season_stop,no_season,quality_rating,yield_rating,author,address,city,state,country,created_at,updated_at,access,import_link,muni,types
456,37.837242,-122.299202,false,Hangs well over sidewalk. Bring a picker.,May,November,false,,,Forage Berkeley,"2309 Powell St, Emeryville, CA 94608, USA",Emeryville,California,United States,2013-02-06 23:51:48 UTC,2025-05-04 05:11:15 UTC,,http://fallingfruit.org/imports/10,false,"{""Common fig""}"
510,37.837227,-122.216301,false,,,,,,,Forage Berkeley,,Oakland,California,United States,2013-02-06 23:51:48 UTC,2016-12-03 22:09:05 UTC,,http://fallingfruit.org/imports/10,false,"{""Common fig""}"
606,37.795254,-122.395828,false,"Yup- on the Embarcadero Center itself- promenade level, behind a little fency thing facing the ferry building. Lemons!",,,,,,Liz,,San Francisco,California,United States,2013-02-07 00:04:26 UTC,2016-12-06 07:31:08 UTC,,http://fallingfruit.org/imports/11,false,{Lemon}
607,37.794838,-122.398071,false,,,,,,,Liz,,San Francisco,California,United States,2013-02-07 00:04:26 UTC,2016-12-05 06:33:08 UTC,,http://fallingfruit.org/imports/11,false,{Lime}
42389,37.80703,-122.20542,false,[2x] Prunus cerasifera/blireiana,,,,,,City of Oakland,"1 Alida Ct, Oakland, CA",Oakland,California,United States,2013-02-17 04:31:39 UTC,2016-12-01 10:10:57 UTC,,http://fallingfruit.org/imports/81,true,"{""Cherry plum""}"
42390,37.8124804,-122.2284248,true,"[2x] Citrus sp, [4x] Palm",,,,,,City of Oakland,"1000 Clarendon Cr, Oakland, CA",Oakland,California,United States,2013-02-17 04:31:39 UTC,2016-12-07 05:51:37 UTC,,http://fallingfruit.org/imports/81,true,"{Citrus,Palm}"
42391,37.7913349,-122.2505063,false,[3x] Cordyline australis,,,,,,City of Oakland,"1000 East 12th St, Oakland, CA",Oakland,California,United States,2013-02-17 04:31:40 UTC,2016-12-02 03:40:53 UTC,,http://fallingfruit.org/imports/81,true,"{""Cabbage tree""}"
42392,37.81178999999999,-122.219066,false,[2x] Prunus cerasifera/blireiana,,,,,,City of Oakland,"1000 Elsinore Ave, Oakland, CA",Oakland,California,United States,2013-02-17 04:31:40 UTC,2016-12-02 13:56:52 UTC,,http://fallingfruit.org/imports/81,true,"{""Cherry plum""}"
42393,37.8160732,-122.2413432,false,[2x] Nyssa sylvatica,,,,,,City of Oakland,"1001 Warfield Ave, Oakland, CA",Oakland,California,United States,2013-02-17 04:31:40 UTC,2016-12-09 15:01:10 UTC,,http://fallingfruit.org/imports/81,true,"{""Black tupelo""}"
42394,37.807175,-122.283789,false,"[1x] Washingtonia filifera, [3x] Ginkgo biloba",,,,,,City of Oakland,"1003 12th St, Oakland, CA",Oakland,California,United States,2013-02-17 04:31:40 UTC,2016-12-01 15:53:14 UTC,,http://fallingfruit.org/imports/81,true,"{""Desert fan palm"",ginkgo}"
42395,37.8161314,-122.2365094,false,[3x] Prunus cerasifera/blireiana,,,,,,City of Oakland,"1004 Harvard Rd, Oakland, CA",Piedmont,California,United States,2013-02-17 04:31:40 UTC,2016-12-01 21:11:21 UTC,,http://fallingfruit.org/imports/81,true,"{""Cherry plum""}"
42399,37.755793,-122.191949,false,[2x] Schinus terebinthefolia,,,,,,City of Oakland,"1018 73rd Ave, Oakland, CA",Oakland,California,United States,2013-02-17 04:31:41 UTC,2016-12-05 09:42:55 UTC,,http://fallingfruit.org/imports/81,true,"{""Brazilian pepper tree""}"
42400,37.81153200000001,-122.21879,false,[2x] Prunus cerasifera/blireiana,,,,,,City of Oakland,"1020 Elsinore Ave, Oakland, CA",Oakland,California,United States,2013-02-17 04:31:42 UTC,2016-12-03 06:23:27 UTC,,http://fallingfruit.org/imports/81,true,"{""Cherry plum""}"
42402,37.8075337,-122.2840166,false,[2x] Ginkgo biloba,,,,,,City of Oakland,"1026 12th St, Oakland, CA",Oakland,California,United States,2013-02-17 04:31:42 UTC,2016-12-02 15:22:54 UTC,,http://fallingfruit.org/imports/81,true,{ginkgo}
42403,37.8122627,-122.2279778,true,[2x] Crataegus sp,,,,,,City of Oakland,"1030 Clarendon Cr, Oakland, CA",Oakland,California,United States,2013-02-17 04:31:42 UTC,2016-12-06 18:07:32 UTC,,http://fallingfruit.org/imports/81,true,{Hawthorn}
42406,37.809389,-122.229172,false,[2x] Prunus cerasifera/blireiana,,,,,,City of Oakland,"1040 Hubert Rd, Oakland, CA",Oakland,California,United States,2013-02-17 04:31:43 UTC,2016-12-01 12:16:38 UTC,,http://fallingfruit.org/imports/81,true,"{""Cherry plum""}"
42408,37.810353,-122.228853,true,"[2x] Crataegus sp, [1x] Morus alba",,,,,,City of Oakland,"1042 Sunnyhills Rd, Oakland, CA",Oakland,California,United States,2013-02-17 04:31:43 UTC,2016-12-07 00:13:01 UTC,,http://fallingfruit.org/imports/81,true,"{Hawthorn,""White mulberry""}"
42410,37.83762249999999,-122.2792528,false,[2x] Prunus cerasifera/blireiana,,,,,,City of Oakland,"1044 53rd St, Oakland, CA",Oakland,California,United States,2013-02-17 04:31:44 UTC,2016-12-03 00:42:35 UTC,,http://fallingfruit.org/imports/81,true,"{""Cherry plum""}"
42412,37.8101133,-122.2284309,true,[2x] Crataegus sp,,,,,,City of Oakland,"1047 Sunnyhills Rd, Oakland, CA",Oakland,California,United States,2013-02-17 04:31:44 UTC,2016-12-01 16:37:58 UTC,,http://fallingfruit.org/imports/81,true,{Hawthorn}
42413,37.7916477,-122.2527783,false,[8x] Prunus cerasifera/blireiana,,,,,,City of Oakland,"1049 9th Ave, Oakland, CA",Oakland,California,United States,2013-02-17 04:31:45 UTC,2016-12-05 10:46:14 UTC,,http://fallingfruit.org/imports/81,true,"{""Cherry plum""}"
42416,37.810644,-122.228239,true,"[1x] Crataegus sp, [1x] Brachychiton populneum",,,,,,City of Oakland,"1066 Sunnyhills Rd, Oakland, CA",Oakland,California,United States,2013-02-17 04:31:45 UTC,2016-12-07 14:18:52 UTC,,http://fallingfruit.org/imports/81,true,"{Kurrajong,Hawthorn}"
42417,37.817197,-122.239698,false,[2x] Nyssa sylvatica,,,,,,City of Oakland,"1070 Warfield Ave, Oakland, CA",Oakland,California,United States,2013-02-17 04:31:46 UTC,2016-12-06 19:12:27 UTC,,http://fallingfruit.org/imports/81,true,"{""Black tupelo""}"
42420,37.810646,-122.220295,true,"[1x] Prunus cerasifera/blireiana, [1x] Malus sp",,,,,,City of Oakland,"1072 Glendora Ave, Oakland, CA",Oakland,California,United States,2013-02-17 04:31:46 UTC,2016-12-06 03:18:50 UTC,,http://fallingfruit.org/imports/81,true,"{""Cherry plum"",Apple}"
42422,37.8007166,-122.2361015,false,"[1x] Malus floribunda, [4x] Washingtonia robusta",,,,,,City of Oakland,"1078 Bella Vista Ave, Oakland, CA",Oakland,California,United States,2013-02-17 04:31:47 UTC,2016-12-07 23:05:37 UTC,,http://fallingfruit.org/imports/81,true,"{""Mexican fan palm"",""Japanese flowering crabapple""}"
42423,37.8038484,-122.2614206,false,[2x] Washingtonia robusta,,,,,,City of Oakland,"108 17th St, Oakland, CA",Oakland,California,United States,2013-02-17 04:31:47 UTC,2016-12-06 08:13:16 UTC,,http://fallingfruit.org/imports/81,true,"{""Mexican fan palm""}"
42425,37.821943,-122.280308,false,[3x] Prunus cerasifera/blireiana,,,,,,City of Oakland,"1084 30th St, Oakland, CA",Oakland,California,United States,2013-02-17 04:31:48 UTC,2016-12-08 17:00:15 UTC,,http://fallingfruit.org/imports/81,true,"{""Cherry plum""}"
42426,37.800954,-122.235673,false,[2x] Washingtonia robusta,,,,,,City of Oakland,"1085 Bella Vista Ave, Oakland, CA",Oakland,California,United States,2013-02-17 04:31:48 UTC,2016-12-08 08:51:47 UTC,,http://fallingfruit.org/imports/81,true,"{""Mexican fan palm""}"
42427,37.81792799999999,-122.281354,false,"[2x] Washingtonia filifera, [7x] Ginkgo biloba",,,,,,City of Oakland,"1089 26th St, Oakland, CA",Oakland,California,United States,2013-02-17 04:31:48 UTC,2016-12-08 16:17:09 UTC,,http://fallingfruit.org/imports/81,true,"{ginkgo,""Desert fan palm""}"
42431,37.7581784,-122.1917562,false,[3x] Morus alba,,,,,,City of Oakland,"1103 71st Ave, Oakland, CA",Oakland,California,United States,2013-02-17 04:31:49 UTC,2016-12-05 12:52:47 UTC,,http://fallingfruit.org/imports/81,true,"{""White mulberry""}"
42433,37.824886,-122.250054,false,[2x] Malus floribunda,,,,,,City of Oakland,"111 Monte Cresta Ave, Oakland, CA",Oakland,California,United States,2013-02-17 04:31:49 UTC,2016-12-09 17:07:43 UTC,,http://fallingfruit.org/imports/81,true,"{""Japanese flowering crabapple""}"
42436,37.807673,-122.285891,false,[3x] Ginkgo biloba,,,,,,City of Oakland,"1127 Chestnut St, Oakland, CA",Oakland,California,United States,2013-02-17 04:31:50 UTC,2016-12-08 16:17:10 UTC,,http://fallingfruit.org/imports/81,true,{ginkgo}
42437,37.810254,-122.219378,false,[2x] Prunus cerasifera/blireiana,,,,,,City of Oakland,"1127 El Centro Ave, Oakland, CA",Oakland,California,United States,2013-02-17 04:31:50 UTC,2016-12-05 08:40:57 UTC,,http://fallingfruit.org/imports/81,true,"{""Cherry plum""}"
42438,37.756384,-122.189355,false,[2x] Washingtonia robusta,,,,,,City of Oakland,"1129 75th Ave, Oakland, CA",Oakland,California,United States,2013-02-17 04:31:51 UTC,2016-12-03 09:58:47 UTC,,http://fallingfruit.org/imports/81,true,"{""Mexican fan palm""}"
42442,37.800862,-122.289976,false,[4x] Prunus cerasifera/blireiana,,,,,,City of Oakland,"1155 3rd St, Oakland, CA",Oakland,California,United States,2013-02-17 04:31:51 UTC,2016-12-07 01:58:54 UTC,,http://fallingfruit.org/imports/81,true,"{""Cherry plum""}"
42444,37.762026,-122.202984,false,[2x] Prunus cerasifera/blireiana,,,,,,City of Oakland,"1169 60th Ave, Oakland, CA",Oakland,California,United States,2013-02-17 04:31:52 UTC,2016-12-08 21:15:46 UTC,,http://fallingfruit.org/imports/81,true,"{""Cherry plum""}"
42446,37.757678,-122.189085,false,[2x] Schinus terebinthefolia,,,,,,City of Oakland,"1180 73rd Ave, Oakland, CA",Oakland,California,United States,2013-02-17 04:31:52 UTC,2016-12-01 22:45:12 UTC,,http://fallingfruit.org/imports/81,true,"{""Brazilian pepper tree""}"
